Names,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor
21,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,1.27E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,3.30E-02
22,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,1.90E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,1.86E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
23,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,3.50E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,6.59E-02,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,1.04E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
24,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,1.96E-05,1.89E+00,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,4.26E-01,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,1.38E-01
25,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,1.96E-05,1.99E-01,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,1.74E-01,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
26,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,6.44E-02
27,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,6.08E+00,0,0,0,0,0,0.00E+00,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
28,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,1.96E-05,3.50E-02,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,2.40E-01,0,0,0,0,0,0,0,0,0,0,2.77E-07,3.03E-03
29,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,6.60E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,1.07E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
30,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,1.96E-05,5.95E-02,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,1.42E-02,0,0,0,0,0,0,0,0,0,0,2.77E-07,4.03E-01
